SUN2017,WIND2017
0,147.58
0,141.86
0,147.17
0,148.07
0,146.28
0,136.6
0,128.3
0,122.39
0,129.39
0,133.01
0,131.92
0,128.43
0,129.68
0,140.57
0,140.81
0,135.9
0,133.29
0,127.75
0,125.9
0,121.56
0,124.84
0,126.24
0,122.67
15.77,115.66
41.55,124.7
75.9,119.02
120.52,115.7
176.96,110.94
247.08,99.57
332.17,92.47
428.39,89.8
533.67,82.27
659.25,65.6
778.05,59.63
904.51,54.94
1026.95,47.18
1145.26,42.91
1261.19,41.18
1379.18,40.36
1491.18,39.79
1593.54,39.55
1679.57,40.38
1763.81,40.26
1838.89,41.93
1906.96,51.73
1963.6,56.16
2022.09,54.56
2056.84,56.36
2097.3,57.73
2107.07,56.52
2129.05,55.93
2116.9,55.62
2125.7,54.04
2060.99,52.7
2048.68,53.6
2004.89,52.57
1960.2,55.52
1931.87,51.69
1879.08,52.52
1896.03,55.07
1857.8,54.48
1784.27,57.34
1721.42,62.33
1665.38,67.65
1588.21,76.31
1499.87,83.14
1421.98,91.02
1368.91,96.46
1358.01,99.77
1270.56,101.92
1186.63,108.08
1095.01,106.16
960.68,105.74
881.92,102.19
784.18,95.88
678.26,92.38
569.04,102.04
478.92,102.88
387.55,104.4
308.83,101.9
243.3,106.66
185.38,114.92
138.7,108.85
97.05,109.18
60.38,121.15
27.38,135.08
6.2,138.79
0.05,146.21
0,143.12
0,136.59
0,135.12
0,139.34
0,143.82
0,138.24
0,127.92
0,116.98
0,116.61
0,110.63
0,105.45
0,102.98
0,94.41
0,81.47
0,72.85
0,66.61
0,62.63
0,58.98
0,52.81
0,49.19
0,49.04
0,53.1
0,55
0,53.57
0,52.9
0,52.14
0,52.95
0,51.43
0,51.51
0,46.01
0,40.46
14.08,38.09
38.52,43.88
72.19,44.37
117.93,40.6
171.05,38.29
238.52,36.98
314.78,35.04
400.71,33.18
503.43,32.41
621.48,31.78
741.99,31.44
857.15,32.65
973.88,33.8
1085.02,32.66
1200.34,33.45
1303.17,33.96
1422.68,34.95
1526.17,35.89
1609.88,36.43
1691.98,36.49
1760.06,37.95
1815.06,46.36
1874.24,47.97
1934.11,47.23
1973.35,48.22
1998.14,46.9
2012.32,47.08
2039.09,47.31
2024.43,47.1
2014.46,47.73
1993.39,48.49
2015.81,51.55
1961.78,53.92
2012.15,52.74
1967.7,56.09
1927.43,56.91
1862.26,58.69
1776.56,55.68
1726.29,58.44
1700.39,65.29
1639.06,77.72
1582.8,108.07
1514.41,125.78
1435.03,120.92
1389.66,130.72
1261.75,140.01
1158.07,128.8
1102.72,125.46
1011.59,129.08
888.33,141.2
796.53,149.25
682.92,169.47
593.52,195.79
488.19,197.92
385.14,208.14
308.78,222.48
232.97,211.56
171.06,206.94
131.15,239.84
89.35,267.04
51.96,262.39
26.54,274.25
9.22,252.87
0.84,228.07
0.04,198.42
0,181.47
0,178.7
0,171.05
0,186.4
0,180.17
0,154.11
