DateTime,3h-ahead,24h-ahead,168h-ahead,RealTime
01/06/2017 00:00,0,0,0,0
01/06/2017 00:15,0,0,0,0
01/06/2017 00:30,0,0,0,0
01/06/2017 00:45,0,0,0,0
01/06/2017 01:00,0,0,0,0
01/06/2017 01:15,0,0,0,0
01/06/2017 01:30,0,0,0,0
01/06/2017 01:45,0,0,0,0
01/06/2017 02:00,0,0,0,0
01/06/2017 02:15,0,0,0,0
01/06/2017 02:30,0,0,0,0
01/06/2017 02:45,0,0,0,0
01/06/2017 03:00,0,0,0,0
01/06/2017 03:15,0,0,0,0
01/06/2017 03:30,0,0,0,0
01/06/2017 03:45,0,0,0,0
01/06/2017 04:00,0,0,0,0
01/06/2017 04:15,0,0,0,0
01/06/2017 04:30,0,0,0,0
01/06/2017 04:45,0,0,0,0
01/06/2017 05:00,0,0,0,0
01/06/2017 05:15,0,0,0,0
01/06/2017 05:30,3.79,3.8,2.5,0
01/06/2017 05:45,19.77,19.8,14.67,15.77
01/06/2017 06:00,42.57,42.6,36.66,41.55
01/06/2017 06:15,64.6,64.62,67.78,75.9
01/06/2017 06:30,90.87,90.85,113.63,120.52
01/06/2017 06:45,128.38,128.32,167.95,176.96
01/06/2017 07:00,184.95,184.95,219.49,247.08
01/06/2017 07:15,262.78,262.91,271.6,332.17
01/06/2017 07:30,355.46,355.67,328.18,428.39
01/06/2017 07:45,457.98,458.21,383.18,533.67
01/06/2017 08:00,646.64,571.09,436,659.25
01/06/2017 08:15,769.8,695.68,490.88,778.05
01/06/2017 08:30,899.39,826.69,549.46,904.51
01/06/2017 08:45,1029.89,958.38,611.05,1026.95
01/06/2017 09:00,1162.59,1092.22,672.71,1145.26
01/06/2017 09:15,1287.76,1218.74,732.97,1261.19
01/06/2017 09:30,1402.77,1334.37,791.49,1379.18
01/06/2017 09:45,1511.45,1442.36,848.32,1491.18
01/06/2017 10:00,1612.29,1541.59,903.51,1593.54
01/06/2017 10:15,1705.55,1633.09,957.3,1679.57
01/06/2017 10:30,1792.12,1718.41,1009.57,1763.81
01/06/2017 10:45,1870.56,1796.25,1058.92,1838.89
01/06/2017 11:00,1922.74,1864.91,1106.49,1906.96
01/06/2017 11:15,1985.48,1923.75,1155.44,1963.6
01/06/2017 11:30,2040.27,1974.54,1203.82,2022.09
01/06/2017 11:45,2086.25,2015.91,1248.36,2056.84
01/06/2017 12:00,2122.19,2048.86,1288.86,2097.3
01/06/2017 12:15,2150.72,2073.3,1324.86,2107.07
01/06/2017 12:30,2167.26,2086.41,1356.32,2129.05
01/06/2017 12:45,2169.42,2086.23,1383.61,2116.9
01/06/2017 13:00,2161.95,2076.63,1406.86,2125.7
01/06/2017 13:15,2147.19,2059.19,1426.03,2060.99
01/06/2017 13:30,2126.45,2037.04,1441.02,2048.68
01/06/2017 13:45,2098.69,2010.65,1451.71,2004.89
01/06/2017 14:00,1955.48,1977.17,1457.95,1960.2
01/06/2017 14:15,1912.53,1936.8,1459.58,1931.87
01/06/2017 14:30,1867.84,1893.01,1456.21,1879.08
01/06/2017 14:45,1821.41,1845.71,1447.43,1896.03
01/06/2017 15:00,1769.06,1791.43,1433.17,1857.8
01/06/2017 15:15,1711.18,1731.6,1413.45,1784.27
01/06/2017 15:30,1652.15,1673.35,1388.08,1721.42
01/06/2017 15:45,1593.53,1619.52,1356.76,1665.38
01/06/2017 16:00,1627.14,1560.95,1318.63,1588.21
01/06/2017 16:15,1552.12,1494.99,1273.28,1499.87
01/06/2017 16:30,1469.95,1427.32,1221.09,1421.98
01/06/2017 16:45,1382,1354.47,1162.73,1368.91
01/06/2017 17:00,1290.13,1273.48,1096.5,1358.01
01/06/2017 17:15,1192.61,1186.39,1021.42,1270.56
01/06/2017 17:30,1089.79,1093.3,941.93,1186.63
01/06/2017 17:45,984.15,992.89,861.43,1095.01
