DateTime,168h-ahead,24h-ahead,5h-ahead,RealTime,MonitoredCapacity
01/06/2017 00:00,392.47,153.78,130.42,147.58,2403.17
01/06/2017 00:15,395.93,149.32,126.5,141.86,2403.17
01/06/2017 00:30,399.38,144.85,122.58,147.17,2403.17
01/06/2017 00:45,402.84,140.4,118.67,148.07,2403.17
01/06/2017 01:00,405.96,135.97,115.97,146.28,2403.17
01/06/2017 01:15,408.76,131.57,114.51,136.6,2403.17
01/06/2017 01:30,411.57,127.19,113.04,128.3,2403.17
01/06/2017 01:45,414.36,122.78,111.57,122.39,2403.17
01/06/2017 02:00,416.77,118.86,110.58,129.39,2403.17
01/06/2017 02:15,418.8,115.44,110.07,133.01,2403.17
01/06/2017 02:30,420.82,112.01,109.55,131.92,2403.17
01/06/2017 02:45,422.85,108.58,109.03,128.43,2403.17
01/06/2017 03:00,424.64,106.51,108.65,129.68,2403.17
01/06/2017 03:15,426.22,105.79,108.42,140.57,2403.17
01/06/2017 03:30,427.8,105.07,108.2,140.81,2403.17
01/06/2017 03:45,429.37,104.35,107.97,135.9,2403.17
01/06/2017 04:00,430.94,104.01,107.28,133.29,2403.17
01/06/2017 04:15,432.52,104.06,106.15,127.75,2403.17
01/06/2017 04:30,434.11,104.11,105.01,125.9,2403.17
01/06/2017 04:45,435.69,104.16,103.88,121.56,2403.17
01/06/2017 05:00,437.51,103.38,102.01,124.84,2403.17
01/06/2017 05:15,439.58,101.75,99.39,126.24,2403.17
01/06/2017 05:30,441.65,100.12,96.75,122.67,2403.17
01/06/2017 05:45,443.73,98.49,94.13,115.66,2403.17
01/06/2017 06:00,446.29,96.53,94.84,124.7,2403.17
01/06/2017 06:15,449.33,94.22,89.91,119.02,2403.17
01/06/2017 06:30,452.39,91.92,85.01,115.7,2403.17
01/06/2017 06:45,455.43,89.6,80.08,110.94,2403.17
01/06/2017 07:00,459.22,85.08,74.86,99.57,2403.17
01/06/2017 07:15,463.75,78.34,69.34,92.47,2403.17
01/06/2017 07:30,468.29,71.6,63.81,89.8,2403.17
01/06/2017 07:45,472.82,64.85,58.29,82.27,2403.17
01/06/2017 08:00,478.27,58.4,53.15,65.6,2403.17
01/06/2017 08:15,484.64,52.24,48.42,59.63,2403.17
01/06/2017 08:30,491.01,46.08,43.69,54.94,2403.17
01/06/2017 08:45,497.37,39.92,38.96,47.18,2403.17
01/06/2017 09:00,504.46,35.8,35.65,42.91,2403.17
01/06/2017 09:15,512.28,33.74,33.74,41.18,2403.17
01/06/2017 09:30,520.11,31.68,31.83,40.36,2403.17
01/06/2017 09:45,527.94,29.61,29.92,39.79,2403.17
01/06/2017 10:00,536.19,28.13,28.31,39.55,2403.17
01/06/2017 10:15,544.86,27.22,27.01,40.38,2403.17
01/06/2017 10:30,553.54,26.3,25.72,40.26,2403.17
01/06/2017 10:45,562.21,25.39,24.41,41.93,2403.17
01/06/2017 11:00,571.01,24.59,28.03,51.73,2403.17
01/06/2017 11:15,579.94,23.89,27.29,56.16,2403.17
01/06/2017 11:30,588.86,23.19,26.55,54.56,2403.17
01/06/2017 11:45,597.79,22.49,25.81,56.36,2403.17
01/06/2017 12:00,606.5,21.84,25.12,57.73,2403.17
01/06/2017 12:15,615.01,21.22,24.46,56.52,2403.17
01/06/2017 12:30,623.51,20.58,23.8,55.93,2403.17
01/06/2017 12:45,632.02,19.97,23.13,55.62,2403.17
01/06/2017 13:00,639.97,19.49,22.68,54.04,2403.17
01/06/2017 13:15,647.37,19.16,22.41,52.7,2403.17
01/06/2017 13:30,654.76,18.84,22.14,53.6,2403.17
01/06/2017 13:45,662.17,18.51,21.86,52.57,2403.17
01/06/2017 14:00,668.74,18.42,22.03,55.52,2403.17
01/06/2017 14:15,674.47,18.55,22.62,51.69,2403.17
01/06/2017 14:30,680.22,18.69,23.22,52.52,2403.17
